"Story","Title","Result","Date","Stability","Duration (s)"
"Restful CURD test","This method will create a Tokken","SUCCESS","2023-01-03T01:34:25.505Z[Europe/London]","0.0","2.28"
"Restful CURD test","This method will create a booking","SUCCESS","2023-01-03T01:34:27.792Z[Europe/London]","0.0","0.55"
"Restful CURD test","This method will verify new Booking ID creation","SUCCESS","2023-01-03T01:34:28.339Z[Europe/London]","0.0","0.65"
"Restful CURD test","This method will get booking with Id","SUCCESS","2023-01-03T01:34:28.994Z[Europe/London]","0.0","0.53"
"Restful CURD test","This method will updated a booking with ID","SUCCESS","2023-01-03T01:34:29.525Z[Europe/London]","0.0","0.94"
"Restful CURD test","This method will delete a booking with ID","SUCCESS","2023-01-03T01:34:30.465Z[Europe/London]","0.0","1.04"
